Title,Artist,BPM,Duration,Duration_mins,Genre,Popularity,Danceability,Energy,Liveness,Positiveness
Cold Hard Bitch,Jet,130,04:03,4.05,Alt-rock,61,46,90,11,36
I Got A Girl,Tripping Daisy,135,04:05,4.08,Alt-rock,51,62,84,11,69
Soul To Preach To,Fuel,128,04:34,4.57,Alt-rock,26,45,82,28,15
Do You Realize??,The Flaming Lips,130,03:33,3.55,Alt-rock,11,47,84,38,56
Liar,Built To Spill,135,05:11,5.18,Alt-rock,45,54,76,26,54
Web In Front,Archers of Loaf,135,02:05,2.08,Alt-rock,6,56,80,27,94
Do It Anyway,Ben Folds Five,135,04:22,4.37,Alt-rock,35,37,79,19,77
Do The Panic,Phantom Planet,133,03:32,3.53,Alt-rock,0,63,61,11,79
Patty Lee,Les Savy Fav,130,03:51,3.85,Alt-rock,26,57,92,11,78
Do You,Spoon,128,03:32,3.53,Alt-rock,55,67,94,19,95
Slow Slow Fly,The Presidents of The United States of America,129,03:25,3.42,Alt-rock,22,77,56,14,86
Getaway,Pearl Jam,131,03:26,3.43,Alt-rock,49,56,93,27,79
Metal Zone,The Vines,132,02:24,2.40,Alt-rock,21,51,88,19,28
Corona,Minutemen,130,02:25,2.42,Alt-rock,51,47,91,22,98
New York Kiss,Spoon,132,03:26,3.43,Alt-rock,37,63,97,22,53
Celebrity Skin,Hole,134,02:42,2.70,Alt-rock,68,44,91,36,72
Mind to Be Had,Blonde Redhead,135,08:46,8.77,Alt-rock,24,66,63,10,32
Song 2,Blur,130,02:01,2.02,Alt-rock,13,66,71,7,86
2013,Primal Scream,132,09:00,9.00,Alt-rock,2,46,92,14,27
Take Me To Church,Hozier,129,04:01,4.02,Alternative,44,57,66,12,39
When You Were Young,The Killers,130,03:40,3.67,Alternative,76,47,99,28,32
Soul Meets Body,Death Cab for Cutie,128,03:49,3.82,Alternative,60,62,85,9,71
Clocks,Coldplay,131,05:07,5.12,Alternative,82,58,75,18,26
Cool Kids,Echosmith,130,03:57,3.95,Alternative,77,72,67,12,79
Don't Stop (Color on the Walls),Foster the People,133,02:54,2.90,Alternative,62,61,95,10,79
Cough Syrup,Young the Giant,129,04:09,4.15,Alternative,70,53,72,12,23
Howlin' For You,The Black Keys,133,03:11,3.18,Alternative,65,71,74,11,45
It's Not My Time,3 Doors Down,128,04:01,4.02,Alternative,62,53,94,11,31
No Way,The Naked and Famous,130,05:29,5.48,Alternative,47,45,85,23,8
"A Little Less Sixteen Candles, A Little More ""Touch Me""",Fall Out Boy,133,02:50,2.83,Alternative,36,54,90,18,72
Car Radio,Twenty One Pilots,130,04:27,4.45,Alternative,71,77,52,9,61
Heads Will Roll,Yeah Yeah Yeahs,132,03:41,3.68,Alternative,59,56,90,30,79
Best Of You,Foo Fighters,130,04:14,4.23,Alternative,58,38,94,13,35
I Don't Care,Fall Out Boy,134,03:38,3.63,Alternative,43,53,92,34,52
Uprising,Muse,128,05:04,5.07,Alternative,76,60,91,12,41
Bloodshake,Peace,128,03:55,3.92,Alternative,34,52,84,29,25
Easy Way Out,Gotye,131,01:57,1.95,Alternative,39,72,74,65,70
Hands,The Ting Tings,130,03:19,3.32,Alternative,33,78,88,13,80
On & On,Fossil Collective,132,03:51,3.85,Alternative,24,52,71,12,51
Fader,The Temper Trap,135,03:03,3.05,Alternative,48,54,75,13,16
Big Me,Foo Fighters,131,02:12,2.20,Alternative,48,56,77,34,53
Stellar,Incubus,128,03:20,3.33,Alternative,62,58,77,34,53
Read My Mind,The Killers,132,04:06,4.10,Alternative,70,54,92,10,33
Cha-Ching (Till We Grow Older),Imagine Dragons,130,04:08,4.13,Alternative,43,52,87,8,13
